carID,price
89856,10646
106581,25292
80886,13774
100174,16923
81376,22993
85391,10205
82175,14496
95250,14902
85071,4887
96210,16990
80317,27320
92731,20604
107704,9493
98302,7267
107055,22898
94621,42002
91709,17513
98193,47134
76189,18069
86871,13647
102917,6583
90923,27082
101603,5146
94196,21490
85174,16075
103370,12389
107877,16164
79567,14529
90091,9405
76169,13904
98708,11005
107347,21689
89583,9343
101591,11306
92160,16008
99676,11803
85354,17225
81900,11893
80345,22087
78509,32371
100872,9679
95087,28122
86027,16413
89135,14099
80557,26654
108092,20678
102672,16918
83022,7737
78398,20509
95889,29644
81117,46056
93730,18964
101380,9528
81772,27290
85304,11301
86107,5809
88696,16241
104350,19682
87331,12311
85206,16331
107445,23503
106539,28289
98712,21852
96875,13252
108464,22354
99890,7939
87771,16576
79442,21312
84170,10917
103045,15146
101544,3712
77350,10501
89225,14629
79565,56153
82849,10441
94360,20134
103040,6534
105101,47523
97077,11674
98674,12894
93447,29833
84951,19811
91953,10642
102101,8193
92604,31452
89010,9398
102729,9644
88024,10438
104367,12104
101230,11168
82524,18527
95279,48488
106098,12501
89749,8771
101277,6649
108016,27745
81259,24902
97434,20443
105289,26925
103379,9857
78317,31264
104166,21011
106660,31940
107490,12025
90684,13642
90032,6757
79481,19291
102524,9334
100778,17012
77810,14916
98979,13134
76558,18555
94550,23740
107246,6144
77429,25311
106105,12376
105213,9479
102747,10004
104958,15172
96036,17313
92310,23776
100837,6367
82858,11229
90119,11006
77304,21630
89011,11302
84623,16669
99665,22593
100592,9765
82623,10511
92035,18754
84305,10522
92903,6616
93398,19844
108067,19236
85062,8120
81727,38829
95637,10485
89690,7956
83240,17596
89711,8216
96945,10126
104924,22492
79633,20144
89582,4477
98080,7298
85992,6609
86712,12788
105767,12896
100590,8826
104574,15904
97246,12569
78141,18751
91590,28675
80767,13830
100344,14517
88987,20350
96479,21196
90598,8745
83880,8136
86802,14659
103078,15743
84736,9710
84196,3940
102062,9863
90110,6182
102907,10569
81776,24423
102431,6125
80442,14353
78656,29019
78537,35709
102511,7360
93612,20054
99284,7815
96315,15063
94305,45301
100636,11001
81816,14827
100352,15870
101476,10514
93392,32841
93995,22266
94261,31206
89117,15503
86506,2470
88456,7484
84134,10881
81088,11408
103960,10851
84925,12850
97306,9898
83752,7750
100696,3831
76472,11473
101128,13443
105932,14112
86416,7520
79616,28305
83395,14282
88734,11008
106676,17762
102442,10347
88761,17594
79708,27738
96808,18388
103755,9396
86273,18392
97635,27336
80797,25055
108000,19027
95126,40509
105187,31733
81613,21304
103906,6567
105729,7891
100637,15074
82861,7636
107823,15391
85274,14302
88926,15007
87871,10780
97970,6850
98044,7946
90277,7265
85647,12689
107447,17747
79418,7948
80383,28064
79894,16324
105875,7119
86032,11674
104423,15773
78437,14319
79480,17980
89973,6217
94007,29030
93952,15495
84548,3200
97885,12048
86571,10222
77839,37871
102201,5544
98731,7917
82395,17912
76816,32976
97956,8365
86012,13021
106393,21453
81832,27967
82787,19530
103974,6683
100725,9947
86552,7197
80174,13417
99189,15191
102543,12810
98518,14125
100334,8887
92673,18393
88008,11929
105207,25005
106462,23693
106106,15843
79705,18544
108193,17950
89668,8185
86435,12023
101281,11437
104753,26942
79004,16780
89732,3087
89201,12673
87282,12973
101589,9499
87352,11422
103388,9757
93619,17312
101941,6594
106533,13492
90018,24011
101265,16000
104255,24597
80093,27519
82433,7665
77254,19766
106400,29180
79847,10502
95735,29375
106733,20107
76318,19419
95966,18467
101690,9601
82845,15915
96266,24274
104175,28765
97347,13681
92730,48473
84738,8966
102596,6221
78356,31050
94062,31096
101662,6851
81715,29415
103046,12601
108133,6431
96302,12928
83859,22282
104815,17756
95903,27614
79683,10153
88888,21658
80529,25444
81898,74345
83435,9727
80448,14056
79241,32709
76056,20241
76342,17009
98238,9375
85878,7961
102846,10344
90215,3474
79635,60202
77561,18428
101151,13056
93594,26956
78703,38312
87596,7598
92572,19503
90757,8198
95881,19520
98008,13664
84805,8932
100888,10024
82504,15999
82177,14901
89472,32852
82301,17257
106483,8748
79808,12970
83412,17280
89386,17446
89889,21045
108249,17523
98252,8815
83525,9574
102595,9952
94255,11445
91259,26813
99539,7133
97379,24290
104452,25603
88479,11092
95424,26833
94732,47944
89025,10181
89497,42030
92405,14613
95346,15427
91337,18235
97739,14729
81087,11328
80661,10281
105537,12625
81073,27681
102770,9944
99299,9612
77528,19585
95278,32309
106536,17411
79421,14705
105026,23750
97887,11268
106163,14236
103242,10010
103098,8010
76195,15638
103418,12245
102091,12213
102341,7322
100315,20730
100377,7540
78857,21853
93748,28412
107891,9753
77063,27834
86916,8197
108347,9873
94475,18742
100383,11187
80618,32907
98926,9972
77228,15979
106915,15277
92594,11815
80745,34206
78361,11061
95725,26337
105171,7778
87007,9788
104121,15898
92877,15850
108335,44878
101357,13534
89325,10067
103144,7814
101413,6283
85182,11009
84097,17416
101970,5693
98315,5144
89048,10960
106141,8762
87105,16835
88472,13681
93361,15455
87040,7829
99831,11590
95677,12513
89770,6398
77371,27409
107143,18215
100271,11650
83905,11519
101531,14024
90617,7925
83895,18496
89453,13902
106012,20682
76381,19815
106986,15596
84143,12284
91665,42889
81350,14076
80422,13571
84794,6327
81156,32010
77082,35377
97356,9241
82730,17125
99244,9747
85538,15811
101585,11017
90288,9520
98799,3067
93547,21352
85142,9500
82012,32844
89654,15617
102304,13292
79288,42317
77400,11963
98597,6164
103156,8184
95446,28899
97036,8903
101401,8499
80817,9725
84078,6437
95390,27891
79883,24414
104059,12531
103041,11335
81651,13185
100432,10783
84933,13022
81600,18920
78379,8172
90816,7637
107414,9682
105633,20163
99508,7444
100874,8199
104208,17439
84774,11817
96518,12757
91543,23444
107146,20859
94426,15934
99059,9562
96640,7968
81277,9221
102409,12635
104800,13960
107498,19262
90942,44539
80202,22164
76794,16738
88973,14022
91958,63746
80562,19541
103486,7249
95237,15838
105569,15652
106560,27173
107977,13973
90076,16248
93050,16133
80609,27708
88557,16421
90894,19349
83669,6536
78849,16000
101275,7501
91858,7414
96243,14440
106227,25918
105300,16426
93065,43704
78002,12183
82500,13590
78204,9584
107851,8695
